Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
21 Upton St #3, 21 Upton St #3, 02139, Cambridge, MA, 42.363132, -71.108765, 3150, FOR_RENT, APARTMENT, 2114040592, 700, 2, 1, # 3, 1, 5, 10294036000, true, false, -1, false
26 Bradbury St APT B, 26 Bradbury St APT B, 02138, Cambridge, MA, 42.375175, -71.129295, 3600, FOR_RENT, CONDO, 2056457175, 862, 1, 1, Apt B, 7, 2, 4685655000, true, false, -1, false
176 Elm St #1, 176 Elm St #1, 02140, Cambridge, MA, 42.392323, -71.12028, 4450, FOR_RENT, APARTMENT, 2080398420, undefined, 3, 1, # 1, 6, 6, 13135347000, true, false, -1, false
61 Huron Ave, 61 Huron Ave, 02138, Cambridge, MA, 42.38468, -71.1285, 15000, FOR_RENT, SINGLE_FAMILY, 56437703, 3890, 5, 4, , 8, 10, 2673058000, true, false, -1, false
23A Lambert St #1, 23A Lambert St #1, 02141, Cambridge, MA, 42.37235, -71.08687, 2750, FOR_RENT, APARTMENT, 2058458942, 550, 1, 1, # 1, 9, 5, 15046682000, true, false, -1, false
1800 Massachusetts Ave APT 8, 1800 Massachusetts Ave APT 8, 02140, Cambridge, MA, 42.38582, -71.119545, 2100, FOR_RENT, APARTMENT, 56435235, undefined, 0, 1, Apt 8, 4, 3, 4288806000, true, false, -1, false
413 Washington St #1, 413 Washington St #1, 02139, Cambridge, MA, 42.366096, -71.10055, 5200, FOR_RENT, SINGLE_FAMILY, 2086808480, undefined, 3, 2, # 1, 3, 9, 14171118000, true, false, -1, false
163 Hampshire St #3C, 163 Hampshire St #3C, 02139, Cambridge, MA, 42.371773, -71.09816, 3675, FOR_RENT, SINGLE_FAMILY, 401672047, undefined, 2, 1, # 3C, 7, 5, 8176081000, true, false, -1, false
54 Kelly Rd #12R, 54 Kelly Rd #12R, 02139, Cambridge, MA, 42.3631, -71.110405, 4200, FOR_RENT, APARTMENT, 348201832, undefined, 3, 1, # 12R, 4, 8, 15910383000, true, false, -1, false
55-60 Cedar Sq #1F, 55-60 Cedar Sq #1F, 02140, Cambridge, MA, 42.395016, -71.13083, 2650, FOR_RENT, APARTMENT, 347819176, undefined, 1, 1, # 1F, 7, 4, 16317756000, true, false, -1, false
9 Woodbridge St #7A, 9 Woodbridge St #7A, 02140, Cambridge, MA, 42.396084, -71.12805, 3450, FOR_RENT, APARTMENT, 2057210879, 1100, 3, 1, # 7A, 3, 1, 16318987000, true, false, -1, false
29 Montgomery St, 29 Montgomery St, 02140, Cambridge, MA, 42.394363, -71.13284, 3850, FOR_RENT, APARTMENT, 56436727, 1500, 1, 2, , 7, 5, 17305332000, true, false, -1, false
7-9 Woodbridge St UNIT 1F, 7-9 Woodbridge St UNIT 1F, 02140, Cambridge, MA, 42.39577, -71.12813, 3450, FOR_RENT, APARTMENT, 347207916, 1100, 3, 1, Unit 1F, 4, 8, 17184945000, true, false, -1, false
17 Plymouth St #2, 17 Plymouth St #2, 02141, Cambridge, MA, 42.36875, -71.091255, 3400, FOR_RENT, APARTMENT, 2097742782, 750, 2, 1, # 2, 8, 1, 18027495000, true, false, -1, false
332A Beacon St #3, 332A Beacon St #3, 02143, Somerville, MA, 42.38126, -71.11008, 5800, FOR_RENT, APARTMENT, 345430609, undefined, 4, 2, # 3, 7, 6, 18244758000, true, false, -1, false
900A Massachusetts Ave #8, 900A Massachusetts Ave #8, 02139, Cambridge, MA, 42.356716, -71.092384, 3400, FOR_RENT, APARTMENT, 345196207, undefined, 1, 1, # 8, 2, 1, 18487194000, true, false, -1, false
31A Portsmouth St #3R, 31A Portsmouth St #3R, 02141, Cambridge, MA, 42.368538, -71.09366, 3400, FOR_RENT, APARTMENT, 345192072, undefined, 2, 1, # 3R, 5, 9, 7102343000, true, false, -1, false
6-8 White Street Pl UNIT 1R, 6-8 White Street Pl UNIT 1R, 02140, Cambridge, MA, 42.388805, -71.117744, 4000, FOR_RENT, APARTMENT, 345435261, 9999, 3, 2, Unit 1R, 6, 9, 18227543000, true, false, -1, false
31 Portsmouth St #13R, 31 Portsmouth St #13R, 02141, Cambridge, MA, 42.368458, -71.09382, 3300, FOR_RENT, APARTMENT, 2062707094, 1000, 2, 1, # 13R, 9, 6, 18909064000, true, false, -1, false
