Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
1501 Commonwealth Ave #PENTHOUSE 2, 1501 Commonwealth Ave #PENTHOUSE 2, 02135, Brighton, MA, 42.34748, -71.14139, 999000, FOR_SALE, CONDO, 441727100, 1264, 2, 3, # Penthouse 2, 9, 2, 932020000, true, false, -1, false
34-34.5 Beacon St PENTHOUSE N, 34-34.5 Beacon St PENTHOUSE N, 02108, Boston, MA, 42.35738, -71.06527, 12000000, FOR_SALE, CONDO, 2063017763, 8068, 5, 8, Penthouse N, 8, 6, 82061620000, true, false, -1, false
325 Columbus Ave APT 2, 325 Columbus Ave APT 2, 02116, Boston, MA, 42.346275, -71.0751, 1499000, FOR_SALE, CONDO, 59170940, 1647, 3, 2, Apt 2, 9, 6, 1018420000, true, false, -1, false
8 Lindall Pl APT 1, 8 Lindall Pl APT 1, 02114, Boston, MA, 42.360706, -71.069565, 599000, FOR_SALE, CONDO, 59166538, 509, 1, 1, Apt 1, 1, 3, 2832820000, true, false, -1, false
314 Commonwealth Ave, 314 Commonwealth Ave, 02115, Boston, MA, 42.34926, -71.08606, 6999000, FOR_SALE, CONDO, 2105168791, 4758, 2, 3, , 2, 2, 32381620000, true, false, -1, false
87 Condor St #1, 87 Condor St #1, 02128, East Boston, MA, 42.38247, -71.03696, 439900, FOR_SALE, CONDO, 295324560, 695, 2, 1, # 1, 2, 10, 4560820000, true, false, -1, false
435 Main St #C, 435 Main St #C, 02129, Boston, MA, 42.381554, -71.07088, 829000, FOR_SALE, CONDO, 59100208, 1200, 2, 2, # C, 2, 5, 3351220000, true, false, -1, false
41 Goldfinch Ct, 41 Goldfinch Ct, 02126, Mattapan, MA, 42.287148, -71.09775, 620000, FOR_SALE, TOWNHOUSE, 441820148, 1270, 3, 2, , 1, 3, 413620000, true, false, -1, false
9 Walnut St, 9 Walnut St, 02108, Boston, MA, 42.357502, -71.06617, 9950000, FOR_SALE, SINGLE_FAMILY, 59174707, 6082, 5, 6, , 6, 3, 3610420000, true, false, -1, false
375 Shawmut Ave #1, 375 Shawmut Ave #1, 02118, Boston, MA, 42.341194, -71.072556, 2095000, FOR_SALE, TOWNHOUSE, 349933722, 1876, 3, 3, # 1, 4, 5, 3005620000, true, false, -1, false
8 Wiget St APT 1, 8 Wiget St APT 1, 02113, Boston, MA, 42.363907, -71.05598, 779900, FOR_SALE, CONDO, 59181283, 1122, 3, 2, Apt 1, 4, 5, 2487220000, true, false, -1, false
41 Pearl St #3, 41 Pearl St #3, 02125, Dorchester, MA, 42.315285, -71.05887, 699000, FOR_SALE, CONDO, 71496874, 1250, 3, 2, # 3, 4, 8, 327220000, true, false, -1, false
28-32 Atlantic Ave #415, 28-32 Atlantic Ave #415, 02110, Boston, MA, 42.363277, -71.05015, 1999999, FOR_SALE, CONDO, 59174288, 1668, 2, 2, # 415, 9, 8, 7584820000, true, false, -1, false
7 Franclaire Dr #7, 7 Franclaire Dr #7, 02132, West Roxbury, MA, 42.275074, -71.14932, 569900, FOR_SALE, TOWNHOUSE, 440973282, 1689, 3, 2, # 7, 5, 1, 1709620000, true, false, -1, false
27 Chestnut St, 27 Chestnut St, 02108, Boston, MA, 42.35765, -71.06761, 2899000, FOR_SALE, CONDO, 59174880, 2180, 3, 2, , 2, 3, 2055220000, true, false, -1, false
1415 Commonwealth Ave APT 203, 1415 Commonwealth Ave APT 203, 02135, Brighton, MA, 42.349304, -71.13908, 625000, FOR_SALE, CONDO, 59162656, 1007, 2, 2, Apt 203, 9, 2, 2228020000, true, false, -1, false
466 Park Dr #1, 466 Park Dr #1, 02215, Boston, MA, 42.34601, -71.10513, 2100000, FOR_SALE, CONDO, 318226836, 2147, 4, 3, # 1, 6, 6, 1191220000, true, false, -1, false
8 Lee Hill Rd, 8 Lee Hill Rd, 02131, Roslindale, MA, 42.288647, -71.126564, 949000, FOR_SALE, MULTI_FAMILY, 59142258, 2447, 4, 3, , 6, 3, 2228020000, true, false, -1, false
33 Brimmer St #A, 33 Brimmer St #A, 02108, Boston, MA, 42.357784, -71.07216, 2850000, FOR_SALE, CONDO, 59166669, 1940, 2, 3, # A, 1, 9, 20285620000, true, false, -1, false
