Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
176 Freeman St #917, 176 Freeman St #917, 02446, Brookline, MA, 42.347374, -71.11731, 3800, FOR_RENT, APARTMENT, 2112574047, 9999, 2, 2, # 917, 1, 2, 25671665000, true, false, -1, false
37 Vernon St #303, 37 Vernon St #303, 02446, Brookline, MA, 42.339046, -71.123276, 3431, FOR_RENT, APARTMENT, 2058029294, 850, 2, 1, # 303, 1, 6, 3915656000, true, false, -1, false
42 Williams St #204, 42 Williams St #204, 02446, Brookline, MA, 42.343227, -71.12642, 3450, FOR_RENT, APARTMENT, 348333149, 800, 2, 1, # 204, 9, 2, 15653969000, true, false, -1, false
1680A Beacon St #2, 1680A Beacon St #2, 02445, Brookline, MA, 42.339077, -71.137924, 4200, FOR_RENT, APARTMENT, 440046328, 1140, 2, 2, # 2, 4, 5, 2968605000, true, false, -1, false
19 Englewood Ave APT 7, 19 Englewood Ave APT 7, 02445, Brookline, MA, 42.338512, -71.14539, 2750, FOR_RENT, APARTMENT, 56564184, 972, 2, 1, Apt 7, 2, 4, 380080000, true, false, -1, false
1791 Beacon St #2, 1791 Beacon St #2, 02445, Brookline, MA, 42.33721, -71.1427, 3350, FOR_RENT, APARTMENT, 352407720, 999, 2, 1, # 2, 8, 8, 10659467000, true, false, -1, false
1910 Beacon St #1, 1910 Beacon St #1, 02445, Brookline, MA, 42.336884, -71.14752, 6200, FOR_RENT, APARTMENT, 2088725313, 9999, 5, 2, # 1, 6, 4, 6509093000, true, false, -1, false
1796 Beacon St #1, 1796 Beacon St #1, 02445, Brookline, MA, 42.337894, -71.143295, 4700, FOR_RENT, APARTMENT, 2119437587, 9999, 3, 2, # 1, 7, 2, 8930330000, true, false, -1, false
231 Rawson Rd APT 5, 231 Rawson Rd APT 5, 02445, Brookline, MA, 42.33719, -71.136795, 3250, FOR_RENT, APARTMENT, 56568401, 963, 1, 1, Apt 5, 10, 9, 961090000, true, false, -1, false
1712 Beacon St #2, 1712 Beacon St #2, 02445, Brookline, MA, 42.33874, -71.13951, 5750, FOR_RENT, APARTMENT, 2088144632, 2100, 2, 3, # 2, 3, 5, 11904262000, true, false, -1, false
