Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
180 Faneuil St #3, 180 Faneuil St #3, 02135, Brighton, MA, 42.354122, -71.15743, 5500, FOR_RENT, APARTMENT, 2064325810, 9999, 5, 2, # 3, 8, 4, 13661418000, true, false, -1, false
64 Hobart St #1, 64 Hobart St #1, 02135, Brighton, MA, 42.355007, -71.16047, 3200, FOR_RENT, APARTMENT, 2098646402, 9999, 3, 1, # 1, 10, 2, 15916934000, true, false, -1, false
39 Blenford Rd #1, 39 Blenford Rd #1, 02135, Boston, MA, 42.34472, -71.15061, 3300, FOR_RENT, APARTMENT, 2091813620, 9999, 3, 1, # 1, 8, 9, 15980044000, true, false, -1, false
17 Sparhawk St #4, 17 Sparhawk St #4, 02135, Brighton, MA, 42.35121, -71.149925, 4800, FOR_RENT, APARTMENT, 344710760, 9999, 4, 2, # 4, 5, 5, 19004401000, true, false, -1, false
30 Glencoe St #1, 30 Glencoe St #1, 02135, Brighton, MA, 42.354485, -71.14807, 3800, FOR_RENT, APARTMENT, 2059287936, 9999, 3, 2, # 1, 2, 7, 15981568000, true, false, -1, false
3 Glenley Ter #1, 3 Glenley Ter #1, 02135, Brighton, MA, 42.34836, -71.17, 5900, FOR_RENT, APARTMENT, 2080549039, 9999, 6, 3, # 1, 10, 1, 17276887000, true, false, -1, false
12 Shannon St #1, 12 Shannon St #1, 02135, Brighton, MA, 42.346916, -71.14921, 3200, FOR_RENT, APARTMENT, 341152888, 9999, 3, 1, # 1, 9, 8, 20815060000, true, false, -1, false
9 Sparhawk St #2, 9 Sparhawk St #2, 02135, Brighton, MA, 42.350853, -71.148575, 5400, FOR_RENT, APARTMENT, 2112587867, 9999, 4, 3, # 2, 2, 9, 12885166000, true, false, -1, false
41 Gardena St #2, 41 Gardena St #2, 02135, Brighton, MA, 42.353584, -71.148705, 3600, FOR_RENT, APARTMENT, 2105709706, 9999, 3, 1, # 2, 2, 3, 14426061000, true, false, -1, false
11 Dunboy St #2, 11 Dunboy St #2, 02135, Brighton, MA, 42.3525, -71.16462, 3300, FOR_RENT, APARTMENT, 2099041036, 9999, 3, 1, # 2, 5, 10, 15903742000, true, false, -1, false
14 Sparhawk St #2, 14 Sparhawk St #2, 02135, Brighton, MA, 42.350616, -71.149666, 4800, FOR_RENT, APARTMENT, 2107197325, 9999, 4, 2, # 2, 9, 3, 18581430000, true, false, -1, false
77 Colborne Rd #2, 77 Colborne Rd #2, 02135, Brighton, MA, 42.34426, -71.14786, 3000, FOR_RENT, APARTMENT, 344191008, 9999, 2, 1, # 2, 5, 1, 19264917000, true, false, -1, false
48 Cummings Rd APT 1, 48 Cummings Rd APT 1, 02135, Brighton, MA, 42.34094, -71.14511, 5000, FOR_RENT, APARTMENT, 2121269463, 9999, 5, 2, Apt 1, 10, 1, 19262179000, true, false, -1, false
131 Brooks St #1, 131 Brooks St #1, 02135, Brighton, MA, 42.353096, -71.16336, 4800, FOR_RENT, APARTMENT, 350092021, 9999, 4, 2, # 1, 7, 9, 13660175000, true, false, -1, false
80 Brooks St #3, 80 Brooks St #3, 02135, Brighton, MA, 42.354916, -71.16252, 3300, FOR_RENT, APARTMENT, 2057621666, 9999, 3, 1, # 3, 7, 4, 15377876000, true, false, -1, false
156 Strathmore Rd #21, 156 Strathmore Rd #21, 02135, Brighton, MA, 42.33942, -71.15382, 3100, FOR_RENT, APARTMENT, 348029062, 9999, 2, 1, # 21, 8, 6, 15981813000, true, false, -1, false
41 Arlington St #3, 41 Arlington St #3, 02135, Brighton, MA, 42.352306, -71.15364, 3600, FOR_RENT, APARTMENT, 346926984, 9999, 3, 1, # 3, 9, 6, 17448227000, true, false, -1, false
21 Champney St #1, 21 Champney St #1, 02135, Brighton, MA, 42.351643, -71.1685, 5900, FOR_RENT, APARTMENT, 2106014221, 9999, 6, 3, # 1, 6, 7, 20914268000, true, false, -1, false
23 Colborne Rd #2, 23 Colborne Rd #2, 02135, Brighton, MA, 42.34276, -71.14626, 4500, FOR_RENT, APARTMENT, 351628560, 9999, 4, 2, # 2, 9, 5, 11840106000, true, false, -1, false
40 Glenley Ter #1, 40 Glenley Ter #1, 02135, Brighton, MA, 42.34843, -71.17147, 5700, FOR_RENT, APARTMENT, 350458317, 9999, 6, 3, # 1, 3, 1, 13130809000, true, false, -1, false
14 Bentley St #1, 14 Bentley St #1, 02135, Brighton, MA, 42.35071, -71.15105, 3200, FOR_RENT, APARTMENT, 2107502488, 9999, 3, 1, # 1, 3, 2, 20474434000, true, false, -1, false
224 Faneuil St #2, 224 Faneuil St #2, 02135, Brighton, MA, 42.353123, -71.15909, 3750, FOR_RENT, APARTMENT, 2058195354, 9999, 4, 1, # 2, 1, 2, 15304918000, true, false, -1, false
12 Melvin Ave #2, 12 Melvin Ave #2, 02135, Brighton, MA, 42.344788, -71.14166, 4700, FOR_RENT, APARTMENT, 2098272250, 9999, 4, 2, # 2, 1, 10, 17373970000, true, false, -1, false
4 Wadsworth St #2, 4 Wadsworth St #2, 02134, Allston, MA, 42.35531, -71.12696, 5150, FOR_RENT, APARTMENT, 347177692, 9999, 5, 3, # 2, 6, 5, 17193903000, true, false, -1, false
62 N Beacon St #4, 62 N Beacon St #4, 02134, Allston, MA, 42.354046, -71.140854, 5200, FOR_RENT, APARTMENT, 343718833, 9999, 4, 2, # 4, 1, 1, 19782017000, true, false, -1, false
3 Delaware Pl #2, 3 Delaware Pl #2, 02135, Brighton, MA, 42.3518, -71.152954, 3550, FOR_RENT, APARTMENT, 2080784328, 9999, 3, 2, # 2, 7, 10, 20137640000, true, false, -1, false
4 Adella Pl #G, 4 Adella Pl #G, 02134, Allston, MA, 42.352646, -71.136406, 3500, FOR_RENT, APARTMENT, 2054483698, undefined, 3, 1, # G, 3, 4, 30071864000, true, false, -1, false
65 Surrey St #1, 65 Surrey St #1, 02135, Brighton, MA, 42.350895, -71.155975, 3150, FOR_RENT, APARTMENT, 2090425522, 9999, 3, 1, # 1, 8, 4, 11154950000, true, false, -1, false
9 Bennett St #2, 9 Bennett St #2, 02135, Boston, MA, 42.35126, -71.1529, 3150, FOR_RENT, APARTMENT, 2086233575, 9999, 3, 1, # 2, 10, 7, 14698001000, true, false, -1, false
16 Sutherland Rd APT 2, 16 Sutherland Rd APT 2, 02135, Brighton, MA, 42.337044, -71.15049, 4200, FOR_RENT, APARTMENT, 2121143722, 9999, 4, 2, Apt 2, 8, 3, 20916131000, true, false, -1, false
11 Lothrop St FLOOR 2, 11 Lothrop St FLOOR 2, 02135, Brighton, MA, 42.360203, -71.145454, 3300, FOR_RENT, APARTMENT, 374852641, 9999, 3, 1, Floor 2, 1, 2, 8908318000, true, false, -1, false
72 Strathmore Rd APT 12B, 72 Strathmore Rd APT 12B, 02135, Brighton, MA, 42.33832, -71.149124, 3250, FOR_RENT, APARTMENT, 59094375, 9999, 3, 1, Apt 12B, 9, 4, 13736501000, true, false, -1, false
33 Bigelow St #2, 33 Bigelow St #2, 02135, Brighton, MA, 42.353085, -71.1675, 3400, FOR_RENT, APARTMENT, 2106113872, 9999, 3, 1, # 2, 6, 1, 14344587000, true, false, -1, false
